ID,locality,state,country,latitude,longitude
R_centralis_ENS11296,Antioquia; Hotel El Lago,ANT,CO,5.89983,-74.7251
R_granulosa_MTR12027,"Linhares, Reserva da Companhia Vale do Rio Doce",ES,BR,-19.394665,-40.065264
R_granulosa_MTR12028,"Linhares, Reserva da Companhia Vale do Rio Doce",ES,BR,-19.394665,-40.065264
R_granulosa_MTR12059,"Floresta Nacional de Goytacazes, Linhares",ES,BR,-19.434759,-40.085834
R_granulosa_MTR12175,"Floresta Nacional de Goytacazes, Linhares",ES,BR,-19.434759,-40.085834
R_granulosa_MTR16052,"Serra Bonita, Camacan",BA,BR,-15.4445,-39.5192
R_granulosa_MTR22936,FLONA Contendas do Sincorá,BA,BR,-13.92035,-41.11483
R_granulosa_MTR22988,FLONA Contendas do Sincorá,BA,BR,-13.78512,-41.06427
R_humbolti_ENS11089,Guarico,AR,VE,9.38839,-66.8001
R_humbolti_ENS11142,Roscio,BO,VE,7.65765,-61.962
R_major_BM395,Altamira,PA,BR,-3.3231,-52.2559
R_major_LSUMZH-15119,Alter do Chao,PA,BR,-2.501389,-54.955667
R_major_LSUMZH-15120,Alter do Chao,PA,BR,-2.501389,-54.955667
R_major_LSUMZH-15121,Alter do Chao,PA,BR,-2.501389,-54.955667
R_major_LSUMZH-15122,Alter do Chao,PA,BR,-2.501389,-54.955667
R_merianae_LSUMZH-12458,"Fazenda Nova Esperanca, 49 km W BR-174 on BR-210 (appox. 7 km E. Rio Ajarani)",RR,BR,1.827119,-61.138187
R_merianae_LSUMZH-12483,1km NW. Caracarai,RR,BR,1.827119,-61.138187
R_merianae_LSUMZH-12484,1km NW. Caracarai,RR,BR,1.827119,-61.138187
R_merianae_LSUMZH-12485,1km NW. Caracarai,RR,BR,1.827119,-61.138187
R_merianae_LSUMZH-12487,1km NW. Caracarai,RR,BR,1.827119,-61.138187
R_merianae_LSUMZH-12488,1km NW. Caracarai,RR,BR,1.827119,-61.138187
R_merianae_LSUMZH-12489,1km NW. Caracarai,RR,BR,1.827119,-61.138187
R_merianae_LSUMZH-12490,1km NW. Caracarai,RR,BR,1.827119,-61.138187
R_merianae_LSUMZH-12492,1km NW. Caracarai,RR,BR,1.827119,-61.138187
R_merianae_MTR18590,"Lago Chaviana, Itapuru, margem direita, Rio Purus",AM,BR,-4.310694444,-61.81622222
R_merianae_MTR18593,"Lago Chaviana, Itapuru, margem direita, Rio Purus",AM,BR,-4.310694444,-61.81622222
R_merianae_MTR20519,"E.E. Maracá,sede",RR,BR,-3.405,-61.68611111
R_merianae_MTR23148,Serra da Maroquinha,RR,BR,-2.365083333,-61.37213889
R_mirandaribeiroi_AF713,APM Manso,MT,BR,-14.910833,-55.763889
R_mirandaribeiroi_AF725,APM Manso,MT,BR,-14.910833,-55.763889
R_mirandaribeiroi_AF745,APM Manso,MT,BR,-14.910833,-55.763889
R_mirandaribeiroi_AF746,APM Manso,MT,BR,-14.910833,-55.763889
R_mirandaribeiroi_LAJ406,UHE Lajeado,TO,BR,-9.9303,-48.2442
R_mirandaribeiroi_MRT2120,Uruçuí-Una,PI,BR,-7.7947,-44.5629
R_mirandaribeiroi_MRT2716,Uruçuí-Una,PI,BR,-7.7947,-44.5629
R_mirandaribeiroi_MRT2917,Uruçuí-Una,PI,BR,-7.7947,-44.5629
R_mirandaribeiroi_MRT7135,Guaraí,TO,BR,-8.7386,-48.441
R_mirandaribeiroi_MRT7142,Guaraí,TO,BR,-8.7386,-48.441
R_mirandaribeiroi_MRT8997,UHE Lajeado,TO,BR,-9.9303,-48.2442
R_mirandaribeiroi_MTR26991,Barreiras,BA,BR,-12.1909,-44.90125
R_mirandaribeiroi_PHV2203,EESGT (Estação Ecológica Serra Geral do Tocantins),BA,BR,-10.72561,-46.21262
R_mirandaribeiroi_PHV4041,"Niquelândia, Acaba Vida",GO,BR,-14.86926,-48.22438
