ID,plot_order
R_centralis_ENS11296,1
R_humbolti_ENS11142,2
R_humbolti_ENS11089,3
R_merianae_MTR18593,4
R_merianae_MTR18590,5
R_merianae_MTR20519,6
R_merianae_MTR23148,7
R_merianae_LSUMZH-12458,8
R_merianae_LSUMZH-12492,9
R_merianae_LSUMZH-12484,10
R_merianae_LSUMZH-12490,11
R_merianae_LSUMZH-12487,12
R_merianae_LSUMZH-12483,13
R_merianae_LSUMZH-12485,14
R_merianae_LSUMZH-12489,15
R_merianae_LSUMZH-12488,16
R_major_BM395,17
R_major_LSUMZH-15119,18
R_major_LSUMZH-15120,19
R_major_LSUMZH-15121,20
R_major_LSUMZH-15122,21
R_granulosa_MTR22988,22
R_granulosa_MTR22936,23
R_granulosa_MTR12027,24
R_granulosa_MTR12059,25
R_granulosa_MTR12175,26
R_granulosa_MTR12028,27
R_mirandaribeiroi_MTR26991,28
R_granulosa_MTR16052,29
R_mirandaribeiroi_MRT2716,30
R_mirandaribeiroi_MRT7142,31
R_mirandaribeiroi_MRT8997,32
R_mirandaribeiroi_LAJ406,33
R_mirandaribeiroi_MRT7135,34
R_mirandaribeiroi_MRT2120,35
R_mirandaribeiroi_AF713,36
R_mirandaribeiroi_AF745,37
R_mirandaribeiroi_AF725,38
R_mirandaribeiroi_PHV4041,39
R_mirandaribeiroi_AF746,40
R_mirandaribeiroi_PHV2203,41
R_mirandaribeiroi_MRT2917,42
