Sample	Loci_Present	Loci_Absent	Perc_Missing_Data
R_centralis_ENS11296	781	296	27.5
R_granulosa_MTR12027	913	164	15.2
R_granulosa_MTR12028	706	371	34.4
R_granulosa_MTR12059	905	172	16.0
R_granulosa_MTR12175	434	643	59.7
R_granulosa_MTR16052	671	406	37.7
R_granulosa_MTR22936	869	208	19.3
R_granulosa_MTR22988	861	216	20.1
R_humbolti_ENS11089	774	303	28.1
R_humbolti_ENS11142	938	139	12.9
R_major_BM395	756	321	29.8
R_major_LSUMZH-15119	791	286	26.6
R_major_LSUMZH-15120	738	339	31.5
R_major_LSUMZH-15121	689	388	36.0
R_major_LSUMZH-15122	791	286	26.6
R_merianae_LSUMZH-12458	730	347	32.2
R_merianae_LSUMZH-12483	987	90	8.4
R_merianae_LSUMZH-12484	924	153	14.2
R_merianae_LSUMZH-12485	964	113	10.5
R_merianae_LSUMZH-12487	929	148	13.7
R_merianae_LSUMZH-12488	962	115	10.7
R_merianae_LSUMZH-12489	975	102	9.5
R_merianae_LSUMZH-12490	869	208	19.3
R_merianae_LSUMZH-12492	884	193	17.9
R_merianae_MTR18590	938	139	12.9
R_merianae_MTR18593	909	168	15.6
R_merianae_MTR20519	922	155	14.4
R_merianae_MTR23148	891	186	17.3
R_mirandaribeiroi_AF713	528	549	51.0
R_mirandaribeiroi_AF725	821	256	23.8
R_mirandaribeiroi_AF745	855	222	20.6
R_mirandaribeiroi_AF746	933	144	13.4
R_mirandaribeiroi_LAJ406	836	241	22.4
R_mirandaribeiroi_MRT2120	903	174	16.2
R_mirandaribeiroi_MRT2716	859	218	20.2
R_mirandaribeiroi_MRT2917	452	625	58.0
R_mirandaribeiroi_MRT7135	900	177	16.4
R_mirandaribeiroi_MRT7142	646	431	40.0
R_mirandaribeiroi_MRT8997	797	280	26.0
R_mirandaribeiroi_MTR26991	930	147	13.6
R_mirandaribeiroi_PHV2203	701	376	34.9
R_mirandaribeiroi_PHV4041	962	115	10.7
