Sample	Perc_Missing_Data
R_centralis_ENS11296	34.7
R_granulosa_MTR12027	21.2
R_granulosa_MTR12028	41.5
R_granulosa_MTR12059	22.9
R_granulosa_MTR12175	64.1
R_granulosa_MTR16052	43.6
R_granulosa_MTR22936	26.7
R_granulosa_MTR22988	27.4
R_humbolti_ENS11089	35.4
R_humbolti_ENS11142	19.6
R_major_BM395	35.8
R_major_LSUMZH-15119	32.3
R_major_LSUMZH-15120	37.8
R_major_LSUMZH-15121	42.1
R_major_LSUMZH-15122	31.5
R_merianae_LSUMZH-12458	39.1
R_merianae_LSUMZH-12483	15.1
R_merianae_LSUMZH-12484	22.7
R_merianae_LSUMZH-12485	18.5
R_merianae_LSUMZH-12487	21.7
R_merianae_LSUMZH-12488	18.4
R_merianae_LSUMZH-12489	16.0
R_merianae_LSUMZH-12490	27.8
R_merianae_LSUMZH-12492	26.5
R_merianae_MTR18590	20.4
R_merianae_MTR18593	23.8
R_merianae_MTR20519	22.9
R_merianae_MTR23148	25.2
R_mirandaribeiroi_AF713	56.4
R_mirandaribeiroi_AF725	31.6
R_mirandaribeiroi_AF745	28.7
R_mirandaribeiroi_AF746	21.5
R_mirandaribeiroi_LAJ406	29.9
R_mirandaribeiroi_MRT2120	23.3
R_mirandaribeiroi_MRT2716	28.2
R_mirandaribeiroi_MRT2917	62.6
R_mirandaribeiroi_MRT7135	24.1
R_mirandaribeiroi_MRT7142	46.5
R_mirandaribeiroi_MRT8997	33.8
R_mirandaribeiroi_MTR26991	21.1
R_mirandaribeiroi_PHV2203	41.5
R_mirandaribeiroi_PHV4041	18.4
