K	Rep	CV
1	1	0.86501
1	10	0.86501
1	11	0.86501
1	12	0.86501
1	13	0.86501
1	14	0.86501
1	15	0.86501
1	16	0.86501
1	17	0.86501
1	18	0.86501
1	19	0.86501
1	2	0.86501
1	20	0.86501
1	3	0.86501
1	4	0.86501
1	5	0.86501
1	6	0.86501
1	7	0.86501
1	8	0.86501
1	9	0.86501
2	1	0.55911
2	10	0.55911
2	11	0.55911
2	12	0.55911
2	13	0.55911
2	14	0.55911
2	15	0.55911
2	16	0.55911
2	17	0.55911
2	18	0.55911
2	19	0.55911
2	2	0.55911
2	20	0.55911
2	3	0.55911
2	4	0.55911
2	5	0.55911
2	6	0.55911
2	7	0.55911
2	8	0.55911
2	9	0.55911
3	1	0.38763
3	10	0.38763
3	11	0.38763
3	12	0.38763
3	13	0.38763
3	14	0.38763
3	15	0.38763
3	16	0.38763
3	17	0.38763
3	18	0.38763
3	19	0.38763
3	2	0.38763
3	20	0.38763
3	3	0.38763
3	4	0.38763
3	5	0.38763
3	6	0.38763
3	7	0.38763
3	8	0.38763
3	9	0.38763
4	1	0.33166
4	10	0.33166
4	11	0.33166
4	12	0.33166
4	13	0.33166
4	14	0.33166
4	15	0.33166
4	16	0.33166
4	17	0.33166
4	18	0.33166
4	19	0.33166
4	2	0.33166
4	20	0.33166
4	3	0.33166
4	4	0.33166
4	5	0.33166
4	6	0.33166
4	7	0.33166
4	8	0.33166
4	9	0.33166
5	1	0.36261
5	10	0.36261
5	11	0.36261
5	12	0.36261
5	13	0.36261
5	14	0.36261
5	15	0.36261
5	16	0.36261
5	17	0.36261
5	18	0.36261
5	19	0.36261
5	2	0.36261
5	20	0.36261
5	3	0.36261
5	4	0.36261
5	5	0.36261
5	6	0.36261
5	7	0.36261
5	8	0.36261
5	9	0.36261
6	1	0.3554
6	10	0.3554
6	11	0.3554
6	12	0.3554
6	13	0.3554
6	14	0.3554
6	15	0.3554
6	16	0.3554
6	17	0.3554
6	18	0.3554
6	19	0.3554
6	2	0.3554
6	20	0.3554
6	3	0.3554
6	4	0.3554
6	5	0.3554
6	6	0.3554
6	7	0.3554
6	8	0.3554
6	9	0.3554
7	1	0.40667
7	10	0.40667
7	11	0.40667
7	12	0.40667
7	13	0.40667
7	14	0.40667
7	15	0.40667
7	16	0.40667
7	17	0.40667
7	18	0.40667
7	19	0.40667
7	2	0.40667
7	20	0.40667
7	3	0.40667
7	4	0.40667
7	5	0.40667
7	6	0.40667
7	7	0.40667
7	8	0.40667
7	9	0.40667
8	1	0.40972
8	10	0.40972
8	11	0.40972
8	12	0.40972
8	13	0.40972
8	14	0.40972
8	15	0.40972
8	16	0.40972
8	17	0.40972
8	18	0.40972
8	19	0.40972
8	2	0.40972
8	20	0.40972
8	3	0.40972
8	4	0.40972
8	5	0.40972
8	6	0.40972
8	7	0.40972
8	8	0.40972
8	9	0.40972
9	1	0.36276
9	10	0.36276
9	11	0.36276
9	12	0.36276
9	13	0.36276
9	14	0.36276
9	15	0.36276
9	16	0.36276
9	17	0.36276
9	18	0.36276
9	19	0.36276
9	2	0.36276
9	20	0.36276
9	3	0.36276
9	4	0.36276
9	5	0.36276
9	6	0.36276
9	7	0.36276
9	8	0.36276
9	9	0.36276
10	1	0.51966
10	10	0.51966
10	11	0.51966
10	12	0.51966
10	13	0.51966
10	14	0.51966
10	15	0.51966
10	16	0.51966
10	17	0.51966
10	18	0.51966
10	19	0.51966
10	2	0.51966
10	20	0.51966
10	3	0.51966
10	4	0.51966
10	5	0.51966
10	6	0.51966
10	7	0.51966
10	8	0.51966
10	9	0.51966
11	1	0.47278
11	10	0.47064
11	11	0.46978
11	12	0.47262
11	13	0.47282
11	14	0.47298
11	15	0.47298
11	16	0.47103
11	17	0.47275
11	18	0.47292
11	19	0.47273
11	2	0.47253
11	20	0.47267
11	3	0.47296
11	4	0.47272
11	5	0.47262
11	6	0.47264
11	7	0.47287
11	8	0.47288
11	9	0.47285
12	1	0.52193
12	10	0.52193
12	11	0.52193
12	12	0.52193
12	13	0.52227
12	14	0.52193
12	15	0.52193
12	16	0.52193
12	17	0.52193
12	18	0.52193
12	19	0.52193
12	2	0.52193
12	20	0.52193
12	3	0.52193
12	4	0.52193
12	5	0.52193
12	6	0.52193
12	7	0.52193
12	8	0.52193
12	9	0.52193
13	1	0.41474
13	10	0.41474
13	11	0.41474
13	12	0.41474
13	13	0.41474
13	14	0.41474
13	15	0.41474
13	16	0.41474
13	17	0.41474
13	18	0.41474
13	19	0.41474
13	2	0.41474
13	20	0.41474
13	3	0.41474
13	4	0.41474
13	5	0.41474
13	6	0.41474
13	7	0.41474
13	8	0.41474
13	9	0.41474
14	1	0.48234
14	10	0.49128
14	11	0.47198
14	12	0.48214
14	13	0.47941
14	14	0.47305
14	15	0.47941
14	16	0.48405
14	17	0.52256
14	18	0.45955
14	19	0.4928
14	2	0.48025
14	20	0.47958
14	3	0.46937
14	4	0.47941
14	5	0.47193
14	6	0.49741
14	7	0.47684
14	8	0.47967
14	9	0.4808
15	1	0.46154
15	10	0.46154
15	11	0.46154
15	12	0.46143
15	13	0.46154
15	14	0.47375
15	15	0.52319
15	16	0.46143
15	17	0.46157
15	18	0.47375
15	19	0.52966
15	2	0.47376
15	20	0.47375
15	3	0.47375
15	4	0.46143
15	5	0.4615
15	6	0.45985
15	7	0.46154
15	8	0.47376
15	9	0.46143
