P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
humbolti	centralis	granulosa	0.0182927	0	nan	0.00125699	24.1649	0.497024	0.479167
centralis	granulosa	major	0.289986	1.418	0.0780952	0.155453	6.55289	8.64879	4.76033
centralis	merianae	granulosa	0.223634	0.668309	0.251968	0.0341564	22.4083	1.42095	0.901557
granulosa	mirandaribeiroi	centralis	0.185051	0.933073	0.175391	0.0640762	10.7129	5.3261	3.66272
humbolti	centralis	major	0.538856	1.48476	0.0688037	0.0365905	26.7118	1.25139	0.375
centralis	humbolti	merianae	0.465649	1.1208	0.131186	0.148836	2.78611	1.71429	0.625
humbolti	centralis	mirandaribeiroi	0.580396	0	nan	0.0232965	21.8394	0.459936	0.122115
centralis	merianae	major	0.0555263	0.169224	0.43281	0.00594073	24.6642	1.52534	1.36485
mirandaribeiroi	centralis	major	0.0421582	0.2185	0.41352	0.0227417	10.1815	6.72552	6.18139
centralis	merianae	mirandaribeiroi	0.289428	0.939922	0.173629	0.0424557	20.6179	1.40559	0.774584
humbolti	granulosa	major	0.243401	1.33412	0.0910822	0.10879	7.07525	8.29456	5.04717
humbolti	merianae	granulosa	0.180855	0.639859	0.261132	0.0338257	25.2687	1.82323	1.26475
granulosa	mirandaribeiroi	humbolti	0.223868	1.21446	0.112286	0.0766359	12.6525	5.55674	3.52388
merianae	granulosa	major	0.261616	1.39721	0.0811757	0.131745	6.63962	8.48796	4.96774
mirandaribeiroi	granulosa	major	0.411059	2.46343	0.00688075	0.153854	14.9851	7.76932	3.24272
granulosa	mirandaribeiroi	merianae	0.189298	1.04654	0.147657	0.0637257	13.0012	5.93598	4.04635
humbolti	merianae	major	0.26892	1.08424	0.139129	0.0295377	27.1904	2.01051	1.15834
mirandaribeiroi	humbolti	major	0.0348211	0.191909	0.423907	0.0154118	10.4651	6.40418	5.97319
humbolti	merianae	mirandaribeiroi	0.15846	0.618399	0.268156	0.024732	22.7712	1.85218	1.34548
mirandaribeiroi	merianae	major	0.0733722	0.398723	0.345049	0.0327112	10.6021	7.02872	6.0678
