-0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.296482,-1,-1,-1	0,-1,0.386139	-0.5,-1,-1,-1,-1,-1,-1,-1,-0.642857,-1,-1,-1,-1,-0.6125,-1,-1,-1
-0.888889,-1,0.620101,1,-1,1,-0.39691,1,-0.875,-1,1,0.411765,1,1,-0.471698,0.0210136,-0.909091,1,-1	0,-1,1,1,-1,0.783784,-0.589558,1,-0.4,-1,-0.538462,0.411765,0.893333,1,0.647059,-0.49749,1,1,-1	-0.888889,-0.93763,-1,0.95122,1,0.251499,-0.730769,-0.684211,1,0,1,-0.857143,0.51314,-1,0.894958
-1,-1,-1,1,-0.982301,-1,-1,-0.457014,-0.92,-0.989967,-1,-1,-1,-1,-0.740933,-1,-1,-1	1,1,-0.478261,1,-0.73913,-1,-0.0566038	-1,-1,-1,-1,-1,-1,0.0271903,-1,-0.934959,-1,-0.909465,-1,-1,-0.714286,-1,-1,-1
0.395604,-0.528564,0.746202,1,-0.443728,1,1,0.114433,1,0.763786,-0.836529,0.408867,1,0.108179,1,0.703422,-0.665257,0.676033,1,-1	0.257426,0.217765,0.318518,1,1,1,0.909368,-0.570681,-0.438561,0.454558,0.280632,0.534884,1,1,1,0.893491,-0.381585,1,-0.889398,-1	0.153846,-0.669291,0.561028,-1,1,0.643115,1,0.473684,-0.904762,-0.16129,-1,-0.511628,-0.380183,-1,1,-0.980645
-0.888889,-0.0666667,-1,0.0526316,1	-0.5,-1,-1,-1,-1,-1,-1,-1,-0.65,-1,-1,-1,-1,-1,-1,-0.877863,-1,-1,-0.945289	-0.7,1,1,1,1,1,1,1,0.609756,1,1,0,1,1,1,0.889401,1,1,1
-1,1,1,-1,-0.473684,1	-1,-1,1,0.0980392,-1,-1,1,-1,1	-1,1,1,1,-0.699346,1,-1,1
0.153846,-1,-0.707317	-0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.730769,-1,-1,-1	0.607143,1,1,1,1,1,1,1,1,1,-0.16129,1,1,1,0.0485437,1,1,1
-1,-1,-1,1,-1,-1,-1,-0.170732,-0.936599,-0.997669,-1,-1,-0.964736,-1,-1,-1,-0.964695,-1,-1,-0.972265	1,0.149758,1,-0.945652,-0.964736,-1,-0.431818,1	-1,-1,-1,-1,-1,-1,-0.3125,-1,-0.919803,-1,-1,0,-0.912629,-1,-1,-0.913357,-1,-1,-1
0.153846,-1,1,1,-1,-1,-0.457786,1,0.875824,-0.975062,-0.0661224,0.286554,0.037037,1,0.268293,-0.973589,0.485714,1,-0.987976	-0.888889,-1,-0.567123,1,-1,-0.534622,-0.372141,-0.0874105,-0.973226,0.977528,0.286554,1,1,-0.41573,-0.920124,-0.636364,-0.989915,1	0.917293,0.60396,1,-1,-0.15,0.101734,1,0.894737,-0.0359712,-0.980288,0,-1,0.615385,-0.513215,0.857143,1,-1
1,1,-0.204013,1,-0.525692,-1,-1,-0.0131579	-1,-1,-1,1,-0.986207,-1,-1,-0.507246,-0.972144,-0.983516,-1,-1,-1,-1,-1,-0.775785,-1,-1,-1	1,1,1,1,1,1,0.338235,1,0.947929,1,-0.16129,0.828927,1,1,0.770492,1,1,1
