R_centralis_ENS11296	centralis
R_granulosa_AF910	granulosa
R_granulosa_MTR12027	granulosa
R_granulosa_MTR12028	granulosa
R_granulosa_MTR12059	granulosa
R_granulosa_MTR12175	granulosa
R_granulosa_MTR16052	granulosa
R_granulosa_MTR22936	granulosa
R_granulosa_MTR22988	granulosa
R_granulosa_MTR22996	granulosa
R_granulosa_MTR23531	granulosa
R_granulosa_MTR23547	granulosa
R_humbolti_ENS11089	humbolti
R_humbolti_ENS11142	humbolti
R_major_BM377	major
R_major_BM395	major
R_major_BM410	major
R_major_H3058	major
R_major_H3078	major
R_major_H4920	major
R_major_LSUMZH-15118	major
R_major_LSUMZH-15119	major
R_major_LSUMZH-15120	major
R_major_LSUMZH-15121	major
R_major_LSUMZH-15122	major
R_merianae_LSUMZH-12458	merianae
R_merianae_LSUMZH-12483	merianae
R_merianae_LSUMZH-12484	merianae
R_merianae_LSUMZH-12485	merianae
R_merianae_LSUMZH-12486	merianae
R_merianae_LSUMZH-12487	merianae
R_merianae_LSUMZH-12488	merianae
R_merianae_LSUMZH-12489	merianae
R_merianae_LSUMZH-12490	merianae
R_merianae_LSUMZH-12492	merianae
R_merianae_MTR12026	merianae
R_merianae_MTR18590	merianae
R_merianae_MTR18593	merianae
R_merianae_MTR20516	merianae
R_merianae_MTR20519	merianae
R_merianae_MTR23148	merianae
R_mirandaribeiroi_AF713	mirandaribeiroi
R_mirandaribeiroi_AF725	mirandaribeiroi
R_mirandaribeiroi_AF745	mirandaribeiroi
R_mirandaribeiroi_AF746	mirandaribeiroi
R_mirandaribeiroi_LAJ406	mirandaribeiroi
R_mirandaribeiroi_MRT2120	mirandaribeiroi
R_mirandaribeiroi_MRT2716	mirandaribeiroi
R_mirandaribeiroi_MRT2917	mirandaribeiroi
R_mirandaribeiroi_MRT7135	mirandaribeiroi
R_mirandaribeiroi_MRT7142	mirandaribeiroi
R_mirandaribeiroi_MRT8973	mirandaribeiroi
R_mirandaribeiroi_MRT8997	mirandaribeiroi
R_mirandaribeiroi_MRT9005	mirandaribeiroi
R_mirandaribeiroi_MTR26991	mirandaribeiroi
R_mirandaribeiroi_PHV1431	mirandaribeiroi
R_mirandaribeiroi_PHV1432	mirandaribeiroi
R_mirandaribeiroi_PHV1966	mirandaribeiroi
R_mirandaribeiroi_PHV2203	mirandaribeiroi
R_mirandaribeiroi_PHV4041	mirandaribeiroi
R_mirandaribeiroi_PHV4149	mirandaribeiroi
R_castaneoteca_MTR36558	Outgroup
R_castaneoteca_MTR36559	Outgroup
R_castaneoteca_MTR36560	Outgroup
R_margaritifera_MRT7240	Outgroup
